Name,Start Time,Start Direction,Start Alt,End Time,End Direction,End Alt
STARLINK-2503,20:58:44,SW,12°,21:06:42,ENE,10°
STARLINK-2022,20:59:03,WNW,18°,21:04:56,SE,20°
STARLINK-3333,20:59:28,SSW,11°,21:07:05,ENE,10°
STARLINK-3904,20:59:50,NW,18°,21:05:33,ESE,20°
STARLINK-2439,21:00:02,SSW,11°,21:07:53,ENE,10°
STARLINK-1413,21:00:22,NW,17°,21:06:13,ESE,20°
STARLINK-2082,21:01:48,NW,18°,21:07:29,ESE,19°
STARLINK-3239,21:02:10,SW,11°,21:10:14,NE,10°
STARLINK-3900,21:02:50,WNW,18°,21:08:24,SSE,20°
STARLINK-4081,21:03:24,SW,10°,21:11:28,ENE,10°
STARLINK-3226,21:03:34,SW,11°,21:11:40,NE,10°
STARLINK-4584,21:03:57,NW,17°,21:09:38,SE,22°
STARLINK-3116,21:03:58,NNW,18°,21:10:00,SSE,19°
STARLINK-2485,21:04:05,SW,11°,21:12:16,NE,10°
STARLINK-2033,21:04:43,WNW,18°,21:10:20,SE,22°
STARLINK-3323,21:04:48,SSW,10°,21:12:38,ENE,10°
STARLINK-3856,21:05:17,NW,17°,21:10:53,ESE,22°
STARLINK-1735,21:05:20,SW,10°,21:13:26,ENE,10°
SL-27 R/B,21:05:20,NW,16°,21:10:50,S,10°
STARLINK-2436,21:05:29,SSW,10°,21:13:09,ENE,10°
STARLINK-2089,21:05:48,NW,17°,21:11:30,SE,23°
STARLINK-2421,21:06:52,SSW,10°,21:14:33,ENE,10°
SL-3 R/B,21:06:54,S,12°,21:14:17,NNE,10°
STARLINK-2092,21:07:14,NW,18°,21:12:49,ESE,22°
STARLINK-1401,21:08:20,NW,16°,21:13:54,SE,24°
STARLINK-4041,21:08:28,SW,16°,21:15:45,NE,10°
TERRA,21:09:20,E,15°,21:14:45,NNE,10°
STARLINK-4576,21:09:21,WNW,16°,21:14:53,SE,24°
STARLINK-4004,21:09:44,SW,16°,21:17:01,ENE,10°
STARLINK-3241,21:09:52,SW,16°,21:17:12,NE,10°
STARLINK-1414,21:09:55,NW,16°,21:15:31,SE,25°
STARLINK-3109,21:09:59,NNW,17°,21:16:01,SSE,20°
STARLINK-2014,21:10:06,WNW,17°,21:15:38,SSE,23°
STARLINK-2482,21:10:23,SW,16°,21:17:47,NE,10°
STARLINK-3892,21:10:34,NW,16°,21:16:08,ESE,25°
STARLINK-3237,21:11:09,SSW,16°,21:18:11,ENE,10°
SL-14 R/B,21:11:10,N,18°,21:17:56,S,15°
STARLINK-1422,21:11:15,NW,16°,21:16:51,SE,25°
STARLINK-2463,21:11:42,SW,16°,21:19:01,ENE,10°
METOP-A,21:11:45,SE,23°,21:17:26,N,10°
STARLINK-4514,21:11:58,NW,16°,21:17:32,ESE,23°
STARLINK-2088,21:12:29,NW,16°,21:18:07,ESE,25°
STARLINK-2462,21:13:10,SSW,15°,21:20:10,ENE,10°
STARLINK-4582,21:14:42,WNW,15°,21:20:14,SE,26°
RESURS-DK 1,21:14:53,N,14°,21:19:34,E,22°
STARLINK-4082,21:14:58,SW,15°,21:22:30,NE,10°
OKEAN-O,21:15:15,S,10°,21:23:45,NNW,10°
STARLINK-2040,21:15:23,WNW,15°,21:20:55,SSE,25°
STARLINK-2487,21:15:41,SW,14°,21:23:18,NE,10°
STARLINK-3918,21:15:52,NW,14°,21:21:26,SE,28°
STARLINK-3055,21:15:55,NNW,15°,21:22:01,SSE,21°
STARLINK-3242,21:16:18,SSW,14°,21:23:43,ENE,10°
STARLINK-3960,21:16:23,SW,14°,21:23:58,NE,10°
